what,kind,bundleId,bundleVersion,description,time
java.specification.version,sysinfo,,,"1.6",1326871300202
java.vendor,sysinfo,,,"Apple Inc.",1326871300202
java.version,sysinfo,,,"1.6.0_29",1326871300202
java.vm.info,sysinfo,,,"mixed mode",1326871300202
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1326871300202
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1326871300202
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1326871300202
java.vm.specification.version,sysinfo,,,"1.0",1326871300202
java.vm.vendor,sysinfo,,,"Apple Inc.",1326871300202
java.vm.version,sysinfo,,,"20.4-b02-402",1326871300202
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326871309546
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1326871310122
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1326871310417
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1326871310419
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1326871310422
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1326871310424
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1326871310427
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1326871310429
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1326871310432
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1326871310432
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1326871310434
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1326871310436
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1326871310440
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.ui",1326871310442
